Protein,log2FC,pvalue,padj
AP2M1,-0.311201603950096,0.223852751672708,0.46487615337850186
STIM2,0.318872778522689,0.179897612674077,0.4200000373828629
ZNF451,2.23670257386052,0.0004082143667746,0.03256109890272692
EEF1D,0.0679068423613955,0.819843298993484,0.9141074159951177
RXRB,0.409192336597716,0.207361856499692,0.44774311690060886
NUCB2,-0.132702831917651,0.801696410141066,0.9014098939894573
UBTF,-0.244999487718914,0.658700181981895,0.815136029346759
RPL27A,0.319758689884253,0.137620894334867,0.37200640273138114
C11orf58,-0.384937641663019,0.375626291852215,0.6114636875769551
PEX16,0.581424568694281,0.0188030595486751,0.1802606907167527
LMO7,-0.276146846780836,0.256362558751345,0.4994214613361345
DERA,-0.134202575198277,0.322495114695518,0.5642624200349967
SLC22A18,0.403742942697498,0.10608448842698,0.3299324915297818
ALKBH3,-0.170132105451103,0.633061008842817,0.8030221964367258
TRMT2A,0.17703668116469,0.630728261934198,0.8029315827961974
NME4,-0.0013352947829794,0.968869575307151,0.9826381033032885
MYPN,-0.386422266910987,0.024461216821822,0.19492819808454492
RBM22,0.544975612097428,0.0799348723894067,0.3004692920412752
PIK3C2B,3.60265042126472,0.0030654714936405,0.1013848620823541
CHD4,-0.190028113750021,0.538612214682282,0.734028304632336
FAM76B,-0.554237803954237,0.157449598390013,0.39537343595714375
GABARAPL1,0.121293722979502,0.566674053997883,0.7534241234726232
FAM120B,0.267951671803008,0.0588577410916811,0.26382185643960027
ARL6IP4,1.13850258596083,0.0064285952961084,0.13248153357138961
NCAPD2,-0.138978307799356,0.373883045651728,0.6106341171994297
DHX36,-0.465096290032335,0.0392399262276432,0.22655198784880323
ALG10B,0.10457604645902,0.708040686924081,0.8511552938555441
TRIM21,0.663810102157726,0.0790470412596179,0.2993907592975252
GOPC,-0.529757027633234,0.0582226888101911,0.26382185643960027
ANKLE2,0.267537589848402,0.084100376125542,0.306559435554395
KIAA1715,0.344445830044535,0.294564353566745,0.532572351248675
SEC23A,-0.0899160359017834,0.482337948708236,0.6974684826641464
WLS,1.57237285890142,0.0106454216246734,0.15521711530168958
DNM2,-0.13567292743835,0.291799840976794,0.5318287424254472
PSMF1,1.82460920089485,0.0447841783480799,0.23178376274807763
TUBA1C,0.11317514359969,0.550111426980587,0.7429791782725856
MYO1C,0.25073121557493,0.331706413115759,0.574449420415031
PGD,-0.0310040138172667,0.879022334183683,0.9373550250174912
IARS2,0.496977412689258,0.144080777427084,0.37713611073466813
CAD,0.213126072627038,0.131295430407644,0.36343002703391514
RPLP0,0.0800530139679658,0.192590355398563,0.43094475564430934
VPS29,0.0643957742157539,0.671510758964294,0.8255381587992591
TROAP,-0.398185816161917,0.036861746035161,0.22122085922054446
MYL6,0.327386036299842,0.35054530739226,0.5875641987934543
RBMS2,0.432039708660561,0.275487106123672,0.5204153844027183
HNRNPA1,-0.240732454615486,0.0959727536348659,0.31741232665580044
RPL10,-0.40301841353735,0.0218529237292191,0.18891769477223913
MEIS1,-0.643171932636779,0.0141765652936451,0.16716019598419787
RTN4,-0.0142495523733572,0.975090590664363,0.9866858230455835
IGF2BP2,0.394031829025774,0.271443602955477,0.5173054996599367
AIMP2,-0.640245973017098,0.263570005168886,0.5083939217766849
ATXN2,-0.0354971217193594,0.913754592925845,0.9571254566100773
CPSF6,-0.127073514909583,0.641560993733526,0.8088491319949802
TJP1,0.085039214728873,0.579715525995882,0.7656485372210466
SLC27A2,-0.0897985006150748,0.893986309452908,0.9419156453909427
ACYP1,0.347666358743869,0.0601620910308468,0.265732232696509
SNW1,0.162024273900581,0.518611751785251,0.7187647710010078
ZFYVE1,0.0346876051742981,0.872273625063815,0.9342835984095839
RBM39,0.309821277501712,0.198539318997515,0.4374057294363712
MRPS22,0.46431642538586,0.0408156715628887,0.2268280763904798
CPSF3,0.685488939021784,0.0383732642681746,0.22525604479499894
MRPS27,0.395236361154574,0.321795238092726,0.5640904449700126
CELF1,0.355107814136769,0.271623536694598,0.5173054996599367
HNRNPH1,0.155029060670799,0.350401902158708,0.5875641987934543
AMPD2,-0.735318711846215,0.020786071654709,0.18620900321601394
DPM1,0.422073763491603,0.188850939726099,0.42889076162379264
RBM33,-0.88970775802494,0.0377947416403933,0.22379768412390094
